mac_add,created_time
cc:78:5f:db:ec:a7,2016-12-07 00:06:00.000
e4:95:6e:40:68:68,2016-12-07 00:06:00.000
e4:95:6e:40:68:7d,2016-12-07 00:06:00.000
e4:95:6e:40:68:f9,2016-12-07 00:06:00.000
e4:95:6e:40:6f:ee,2016-12-07 00:06:00.000
f2:b4:29:8e:b0:78,2016-12-07 00:06:00.000
fc:25:3f:d0:11:2e,2016-12-07 00:06:00.000
18:59:36:12:23:33,2016-12-07 00:07:00.000
1c:e1:92:34:d7:46,2016-12-07 00:07:00.000
5c:cf:7f:21:fb:8a,2016-12-07 00:07:00.000
5c:cf:7f:d3:2e:ce,2016-12-07 00:07:00.000
60:01:94:0f:9b:4e,2016-12-07 00:07:00.000
60:01:94:0f:a0:08,2016-12-07 00:07:00.000
60:01:94:0f:a0:89,2016-12-07 00:07:00.000
8a:15:04:55:9c:40,2016-12-07 00:07:00.000
b4:29:3d:01:85:fc,2016-12-07 00:07:00.000
b4:29:3d:01:85:fd,2016-12-07 00:07:00.000
b4:29:3d:01:85:fe,2016-12-07 00:07:00.000
b4:29:3d:01:86:00,2016-12-07 00:07:00.000
cc:44:63:7f:21:07,2016-12-07 00:07:00.000
cc:78:5f:db:ec:a7,2016-12-07 00:07:00.000
e4:95:6e:40:68:68,2016-12-07 00:07:00.000
e4:95:6e:40:68:7d,2016-12-07 00:07:00.000
e4:95:6e:40:68:f9,2016-12-07 00:07:00.000
e4:95:6e:40:6f:ee,2016-12-07 00:07:00.000
f2:b4:29:8e:b0:78,2016-12-07 00:07:00.000
fc:25:3f:d0:11:2e,2016-12-07 00:07:00.000
18:59:36:12:23:33,2016-12-07 00:08:00.000
1c:e1:92:34:d7:46,2016-12-07 00:08:00.000
5c:cf:7f:22:01:df,2016-12-07 00:08:00.000
5c:cf:7f:d3:2e:ce,2016-12-07 00:08:00.000
60:01:94:0f:9b:4e,2016-12-07 00:08:00.000
60:01:94:0f:a0:08,2016-12-07 00:08:00.000
60:01:94:0f:a0:89,2016-12-07 00:08:00.000
60:01:94:0f:a4:39,2016-12-07 00:08:00.000
6e:45:fe:da:5f:27,2016-12-07 00:08:00.000
8a:15:04:55:9c:40,2016-12-07 00:08:00.000
b4:29:3d:01:85:fc,2016-12-07 00:08:00.000
b4:29:3d:01:85:fe,2016-12-07 00:08:00.000
b4:29:3d:01:86:00,2016-12-07 00:08:00.000
cc:44:63:7f:21:07,2016-12-07 00:08:00.000
da:a1:19:91:bd:52,2016-12-07 00:08:00.000
e4:95:6e:40:68:68,2016-12-07 00:08:00.000
e4:95:6e:40:68:7d,2016-12-07 00:08:00.000
e4:95:6e:40:68:f9,2016-12-07 00:08:00.000
e4:95:6e:40:6f:ee,2016-12-07 00:08:00.000
f2:b4:29:8e:b0:78,2016-12-07 00:08:00.000
18:59:36:12:23:33,2016-12-07 00:09:00.000
1c:cd:e5:1e:99:78,2016-12-07 00:09:00.000
1c:e1:92:34:d7:46,2016-12-07 00:09:00.000
5c:cf:7f:d3:2e:ce,2016-12-07 00:09:00.000
60:01:94:0f:9b:4e,2016-12-07 00:09:00.000
60:01:94:0f:a0:08,2016-12-07 00:09:00.000
60:01:94:0f:a0:89,2016-12-07 00:09:00.000
8a:15:04:55:9c:40,2016-12-07 00:09:00.000
ac:f7:f3:bf:78:ca,2016-12-07 00:09:00.000
b4:29:3d:01:86:00,2016-12-07 00:09:00.000
cc:44:63:7f:21:07,2016-12-07 00:09:00.000
cc:78:5f:db:ec:a7,2016-12-07 00:09:00.000
da:a1:19:64:03:b7,2016-12-07 00:09:00.000
e4:95:6e:40:68:68,2016-12-07 00:09:00.000
e4:95:6e:40:68:7d,2016-12-07 00:09:00.000
e4:95:6e:40:68:f9,2016-12-07 00:09:00.000
e4:95:6e:40:6f:ee,2016-12-07 00:09:00.000
f2:b4:29:8e:b0:78,2016-12-07 00:09:00.000
fc:25:3f:d0:11:2e,2016-12-07 00:09:00.000
18:59:36:12:23:33,2016-12-07 00:10:00.000
1c:cd:e5:1e:99:78,2016-12-07 00:10:00.000
1c:e1:92:34:d7:46,2016-12-07 00:10:00.000
5c:cf:7f:d3:2e:ce,2016-12-07 00:10:00.000
60:01:94:0f:9b:4e,2016-12-07 00:10:00.000
60:01:94:0f:a0:08,2016-12-07 00:10:00.000
60:01:94:0f:a0:89,2016-12-07 00:10:00.000
60:01:94:0f:a4:39,2016-12-07 00:10:00.000
6e:45:fe:da:5f:27,2016-12-07 00:10:00.000
8a:15:04:55:9c:40,2016-12-07 00:10:00.000
b4:29:3d:01:85:fc,2016-12-07 00:10:00.000
b4:29:3d:01:85:fe,2016-12-07 00:10:00.000
b4:29:3d:01:86:00,2016-12-07 00:10:00.000
cc:44:63:7f:21:07,2016-12-07 00:10:00.000
cc:78:5f:db:ec:a7,2016-12-07 00:10:00.000
e4:95:6e:40:68:68,2016-12-07 00:10:00.000
e4:95:6e:40:68:7d,2016-12-07 00:10:00.000
e4:95:6e:40:68:f9,2016-12-07 00:10:00.000
e4:95:6e:40:6f:ee,2016-12-07 00:10:00.000
18:59:36:12:23:33,2016-12-07 00:11:00.000
1c:e1:92:34:d7:46,2016-12-07 00:11:00.000
5c:cf:7f:d3:2e:ce,2016-12-07 00:11:00.000
60:01:94:0f:9b:4e,2016-12-07 00:11:00.000
60:01:94:0f:a0:08,2016-12-07 00:11:00.000
60:01:94:0f:a0:89,2016-12-07 00:11:00.000
6e:45:fe:da:5f:27,2016-12-07 00:11:00.000
8a:15:04:55:9c:40,2016-12-07 00:11:00.000
b4:29:3d:01:85:fe,2016-12-07 00:11:00.000
b4:29:3d:01:86:00,2016-12-07 00:11:00.000
cc:44:63:7f:21:07,2016-12-07 00:11:00.000
da:a1:19:a0:e4:98,2016-12-07 00:11:00.000
e4:95:6e:40:68:68,2016-12-07 00:11:00.000
e4:95:6e:40:68:7d,2016-12-07 00:11:00.000
e4:95:6e:40:68:f9,2016-12-07 00:11:00.000
e4:95:6e:40:6f:ee,2016-12-07 00:11:00.000
f2:b4:29:8e:b0:78,2016-12-07 00:11:00.000
1c:cd:e5:1e:99:78,2016-12-07 00:12:00.000
1c:e1:92:34:d7:46,2016-12-07 00:12:00.000
2a:1a:6f:f9:47:d1,2016-12-07 00:12:00.000
5c:cf:7f:22:01:df,2016-12-07 00:12:00.000
5c:cf:7f:d3:2e:ce,2016-12-07 00:12:00.000
60:01:94:0f:9b:4e,2016-12-07 00:12:00.000
60:01:94:0f:a0:08,2016-12-07 00:12:00.000
60:01:94:0f:a0:89,2016-12-07 00:12:00.000
8a:15:04:55:9c:40,2016-12-07 00:12:00.000
b4:29:3d:01:85:fe,2016-12-07 00:12:00.000
b4:29:3d:01:86:00,2016-12-07 00:12:00.000
bc:3a:ea:74:40:53,2016-12-07 00:12:00.000
cc:44:63:7f:21:07,2016-12-07 00:12:00.000
cc:78:5f:db:ec:a7,2016-12-07 00:12:00.000
e4:95:6e:40:68:68,2016-12-07 00:12:00.000
e4:95:6e:40:68:7d,2016-12-07 00:12:00.000
e4:95:6e:40:68:f9,2016-12-07 00:12:00.000
e4:95:6e:40:6f:ee,2016-12-07 00:12:00.000
fc:25:3f:d0:11:2e,2016-12-07 00:12:00.000
00:1d:fa:55:5d:0f,2016-12-07 00:13:00.000
18:0c:ac:4a:d9:c6,2016-12-07 00:13:00.000
1c:e1:92:34:d7:46,2016-12-07 00:13:00.000
42:ce:46:fc:e9:ba,2016-12-07 00:13:00.000
5c:cf:7f:22:01:df,2016-12-07 00:13:00.000
5c:cf:7f:d3:2e:ce,2016-12-07 00:13:00.000
60:01:94:0f:9b:4e,2016-12-07 00:13:00.000
60:01:94:0f:a0:08,2016-12-07 00:13:00.000
