country,first_name,gender,gender_id,image_URL,last_name,party
France,Jean-Paul,Male,2,http://ep.ngo.im/mepphoto/96699.jpg,BESSET,Verts/ALE
France,Jean-Jacob,Male,2,http://ep.ngo.im/mepphoto/113891.jpg,BICEP,Verts/ALE
Poland,Adam,Male,2,http://ep.ngo.im/mepphoto/23788.jpg,BIELAN,ECR
Spain,Izaskun,Female,1,http://ep.ngo.im/mepphoto/96922.jpg,"BILBAO BARANDICA",ALDE
Bulgaria,Slavi,Male,2,http://ep.ngo.im/mepphoto/38610.jpg,BINEV,EFD
Italy,Mara,Female,1,http://ep.ngo.im/mepphoto/97198.jpg,BIZZOTTO,EFD
Lithuania,Vilija,Male,2,http://ep.ngo.im/mepphoto/96681.jpg,BLINKEVIČIŪTĖ,S&D
"United Kingdom",Godfrey,Male,2,http://ep.ngo.im/mepphoto/28513.jpg,BLOOM,EFD
Romania,"Sebastian Valentin",Male,2,http://ep.ngo.im/mepphoto/39722.jpg,BODU,PPE
Germany,Reimer,Male,2,http://ep.ngo.im/mepphoto/1037.jpg,BÖGE,PPE
Hungary,Lajos,Male,2,http://ep.ngo.im/mepphoto/96878.jpg,BOKROS,ECR
Italy,Franco,Male,2,http://ep.ngo.im/mepphoto/118710.jpg,BONANINI,"NA,NI"
Italy,Vito,Male,2,http://ep.ngo.im/mepphoto/29074.jpg,BONSIGNORE,PPE
Italy,Mario,Male,2,http://ep.ngo.im/mepphoto/21817.jpg,BORGHEZIO,"NA,NI"
Bulgaria,Preslav,Male,2,http://ep.ngo.im/mepphoto/116816.jpg,BORISSOV,PPE
Italy,Rita,Female,1,http://ep.ngo.im/mepphoto/96916.jpg,BORSELLINO,S&D
Poland,Piotr,Male,2,http://ep.ngo.im/mepphoto/96799.jpg,BORYS,PPE
Croatia,Biljana,Female,1,http://ep.ngo.im/mepphoto/112748.jpg,BORZAN,S&D
Romania,Victor,Male,2,http://ep.ngo.im/mepphoto/39711.jpg,BOŞTINARU,S&D
France,Philippe,Male,2,http://ep.ngo.im/mepphoto/105624.jpg,BOULLAND,PPE
France,José,Male,2,http://ep.ngo.im/mepphoto/96744.jpg,BOVÉ,Verts/ALE
"United Kingdom",Sharon,Female,1,http://ep.ngo.im/mepphoto/33570.jpg,BOWLES,ALDE
Netherlands,Emine,Female,1,http://ep.ngo.im/mepphoto/28171.jpg,BOZKURT,S&D
"United Kingdom",Philip,Male,2,http://ep.ngo.im/mepphoto/4540.jpg,BRADBOURN,ECR
Poland,"Arkadiusz Tomasz",Male,2,http://ep.ngo.im/mepphoto/111126.jpg,BRATKOWSKI,PPE
Germany,Hiltrud,Female,1,http://ep.ngo.im/mepphoto/1059.jpg,BREYER,Verts/ALE
"Czech Republic",Jan,Male,2,http://ep.ngo.im/mepphoto/28354.jpg,BŘEZINA,PPE
Germany,Elmar,Male,2,http://ep.ngo.im/mepphoto/1263.jpg,BROK,PPE
"United Kingdom","Andrew Henry William",Male,2,http://ep.ngo.im/mepphoto/96749.jpg,BRONS,"NA,NI"
"Czech Republic",Zuzana,Female,1,http://ep.ngo.im/mepphoto/96716.jpg,BRZOBOHATÁ,S&D
"United Kingdom",John,Male,2,http://ep.ngo.im/mepphoto/96798.jpg,BUFTON,EFD
Germany,Udo,Male,2,http://ep.ngo.im/mepphoto/4267.jpg,BULLMANN,S&D
Croatia,Zdravka,Female,1,http://ep.ngo.im/mepphoto/119438.jpg,BUŠIĆ,PPE
Germany,Reinhard,Male,2,http://ep.ngo.im/mepphoto/96739.jpg,BÜTIKOFER,Verts/ALE
Poland,Jerzy,Male,2,http://ep.ngo.im/mepphoto/28269.jpg,BUZEK,PPE
"Czech Republic",Milan,Male,2,http://ep.ngo.im/mepphoto/28324.jpg,CABRNOCH,ECR
France,Alain,Male,2,http://ep.ngo.im/mepphoto/96849.jpg,CADEC,PPE
"United Kingdom",Martin,Male,2,http://ep.ngo.im/mepphoto/4536.jpg,CALLANAN,ECR
Netherlands,"Wim van de",Male,2,http://ep.ngo.im/mepphoto/96754.jpg,CAMP,PPE
Italy,Antonio,Male,2,http://ep.ngo.im/mepphoto/96733.jpg,CANCIAN,PPE
Portugal,"Luis Manuel",Male,2,http://ep.ngo.im/mepphoto/28311.jpg,"CAPOULAS SANTOS",S&D
Italy,Salvatore,Male,2,http://ep.ngo.im/mepphoto/96866.jpg,CARONNA,S&D
Portugal,"Maria Da Graça",Female,1,http://ep.ngo.im/mepphoto/96867.jpg,CARVALHO,PPE
Malta,David,Male,2,http://ep.ngo.im/mepphoto/28122.jpg,CASA,PPE
"United Kingdom",Michael,Male,2,http://ep.ngo.im/mepphoto/4532.jpg,CASHMAN,S&D
Italy,Carlo,Male,2,http://ep.ngo.im/mepphoto/988.jpg,CASINI,PPE
France,Françoise,Female,1,http://ep.ngo.im/mepphoto/28148.jpg,CASTEX,S&D
Spain,"Pilar del",Female,1,http://ep.ngo.im/mepphoto/28390.jpg,"CASTILLO VERA",PPE
France,Jean-Marie,Male,2,http://ep.ngo.im/mepphoto/28206.jpg,CAVADA,PPE
Spain,Alejandro,Male,2,http://ep.ngo.im/mepphoto/4337.jpg,CERCAS,S&D
"Czech Republic",Andrea,Female,1,http://ep.ngo.im/mepphoto/96719.jpg,ČEŠKOVÁ,ECR
Germany,Jorgo,Male,2,http://ep.ngo.im/mepphoto/28243.jpg,CHATZIMARKAKIS,ALDE
"United Kingdom",Giles,Male,2,http://ep.ngo.im/mepphoto/2097.jpg,CHICHESTER,ECR
