Area,Age,Sex,Value
Manawatu-Wanganui region,20-24 Years,Male,8610
Wellington region,20-24 Years,Male,19780
Nelson region,20-24 Years,Male,1420
Tasman region,20-24 Years,Male,1150
Marlborough region,20-24 Years,Male,1050
West Coast region,20-24 Years,Male,910
Canterbury region,20-24 Years,Male,23350
Otago region,20-24 Years,Male,9860
Northland region,25-29 Years,Male,3820
Auckland region,25-29 Years,Male,63440
Southland region,20-24 Years,Male,3140
Waikato region,25-29 Years,Male,13490
Bay of Plenty region,25-29 Years,Male,7280
Gisborne region,25-29 Years,Male,1240
Hawke's Bay region,25-29 Years,Male,3850
Taranaki region,25-29 Years,Male,3310
Manawatu-Wanganui region,25-29 Years,Male,6910
Wellington region,25-29 Years,Male,16950
Nelson region,25-29 Years,Male,1310
Marlborough region,25-29 Years,Male,1130
West Coast region,25-29 Years,Male,870
Tasman region,25-29 Years,Male,950
Canterbury region,25-29 Years,Male,21150
Northland region,30-34 Years,Male,3650
Otago region,25-29 Years,Male,6820
Southland region,25-29 Years,Male,3030
Auckland region,30-34 Years,Male,55170
Waikato region,30-34 Years,Male,12190
Bay of Plenty region,30-34 Years,Male,6660
Gisborne region,30-34 Years,Male,1080
Hawke's Bay region,30-34 Years,Male,3640
Taranaki region,30-34 Years,Male,3200
Manawatu-Wanganui region,30-34 Years,Male,5950
Wellington region,30-34 Years,Male,15590
Tasman region,30-34 Years,Male,1010
Nelson region,30-34 Years,Male,1250
Marlborough region,30-34 Years,Male,1100
West Coast region,30-34 Years,Male,830
Canterbury region,30-34 Years,Male,18240
Otago region,30-34 Years,Male,6160
Southland region,30-34 Years,Male,2770
Auckland region,35-39 Years,Male,48390
Northland region,35-39 Years,Male,3630
Waikato region,35-39 Years,Male,11730
Bay of Plenty region,35-39 Years,Male,7080
Gisborne region,35-39 Years,Male,1210
Hawke's Bay region,35-39 Years,Male,3990
Taranaki region,35-39 Years,Male,3230
Manawatu-Wanganui region,35-39 Years,Male,5780
Wellington region,35-39 Years,Male,15420
Tasman region,35-39 Years,Male,1160
Nelson region,35-39 Years,Male,1370
Marlborough region,35-39 Years,Male,1120
West Coast region,35-39 Years,Male,820
Canterbury region,35-39 Years,Male,17240
Northland region,40-44 Years,Male,4640
Otago region,35-39 Years,Male,5790
Southland region,35-39 Years,Male,2890
Auckland region,40-44 Years,Male,51380
Waikato region,40-44 Years,Male,13460
Bay of Plenty region,40-44 Years,Male,8670
Gisborne region,40-44 Years,Male,1410
Hawke's Bay region,40-44 Years,Male,4780
Taranaki region,40-44 Years,Male,3720
Manawatu-Wanganui region,40-44 Years,Male,6680
Manawatu-Wanganui region,40-44 Years,Female,7420
Taranaki region,40-44 Years,Female,4100
Hawke's Bay region,40-44 Years,Female,5710
Gisborne region,40-44 Years,Female,1570
Bay of Plenty region,40-44 Years,Female,9890
Waikato region,40-44 Years,Female,14840
Auckland region,40-44 Years,Female,57010
Southland region,35-39 Years,Female,2890
Otago region,35-39 Years,Female,6340
Northland region,40-44 Years,Female,5400
Canterbury region,35-39 Years,Female,17610
West Coast region,35-39 Years,Female,920
Marlborough region,35-39 Years,Female,1240
Nelson region,35-39 Years,Female,1450
Tasman region,35-39 Years,Female,1310
Wellington region,35-39 Years,Female,16820
Taranaki region,35-39 Years,Female,3420
Manawatu-Wanganui region,35-39 Years,Female,6370
Hawke's Bay region,35-39 Years,Female,4480
Bay of Plenty region,35-39 Years,Female,8250
Gisborne region,35-39 Years,Female,1360
Waikato region,35-39 Years,Female,13010
Auckland region,35-39 Years,Female,53190
Northland region,35-39 Years,Female,4250
Southland region,30-34 Years,Female,3060
Otago region,30-34 Years,Female,6420
Canterbury region,30-34 Years,Female,17720
Marlborough region,30-34 Years,Female,1180
West Coast region,30-34 Years,Female,900
Nelson region,30-34 Years,Female,1370
Tasman region,30-34 Years,Female,1150
Wellington region,30-34 Years,Female,17010
Manawatu-Wanganui region,30-34 Years,Female,6550
Taranaki region,30-34 Years,Female,3330
Hawke's Bay region,30-34 Years,Female,4040
Gisborne region,30-34 Years,Female,1360
Bay of Plenty region,30-34 Years,Female,7700
Waikato region,30-34 Years,Female,13010
Southland region,25-29 Years,Female,3060
Auckland region,30-34 Years,Female,59740
Otago region,25-29 Years,Female,6500
Northland region,30-34 Years,Female,3960
Canterbury region,25-29 Years,Female,18740
Tasman region,25-29 Years,Female,950
West Coast region,25-29 Years,Female,910
Marlborough region,25-29 Years,Female,1190
Nelson region,25-29 Years,Female,1390
Wellington region,25-29 Years,Female,17560
Manawatu-Wanganui region,25-29 Years,Female,7260
Taranaki region,25-29 Years,Female,3380
Hawke's Bay region,25-29 Years,Female,4160
Gisborne region,25-29 Years,Female,1450
Bay of Plenty region,25-29 Years,Female,7900
Waikato region,25-29 Years,Female,13870
Auckland region,25-29 Years,Female,64240
Southland region,20-24 Years,Female,2720
Northland region,25-29 Years,Female,4190
Otago region,20-24 Years,Female,10060
Canterbury region,20-24 Years,Female,18890
West Coast region,20-24 Years,Female,840
Nelson region,20-24 Years,Female,1250
Marlborough region,20-24 Years,Female,940
Tasman region,20-24 Years,Female,970
Wellington region,20-24 Years,Female,19880
Taranaki region,20-24 Years,Female,3040
Manawatu-Wanganui region,20-24 Years,Female,8090
Hawke's Bay region,20-24 Years,Female,4320
Gisborne region,20-24 Years,Female,1430
Wellington region,40-44 Years,Male,16950
Tasman region,40-44 Years,Male,1580
Nelson region,40-44 Years,Male,1640
Marlborough region,40-44 Years,Male,1380
West Coast region,40-44 Years,Male,1070
Canterbury region,40-44 Years,Male,19640
Otago region,40-44 Years,Male,6760
Northland region,45-49 Years,Male,5230
Southland region,40-44 Years,Male,3090
Auckland region,45-49 Years,Male,51330
Waikato region,45-49 Years,Male,13950
Bay of Plenty region,45-49 Years,Male,8810
Gisborne region,45-49 Years,Male,1380
Hawke's Bay region,45-49 Years,Male,5070
Taranaki region,45-49 Years,Male,3820
Manawatu-Wanganui region,45-49 Years,Male,7090
Wellington region,45-49 Years,Male,16820
Tasman region,45-49 Years,Male,1870
Nelson region,45-49 Years,Male,1730
Marlborough region,45-49 Years,Male,1460
West Coast region,45-49 Years,Male,1100
Canterbury region,45-49 Years,Male,20600
Auckland region,50-54 Years,Male,50560
Northland region,50-54 Years,Male,5750
Otago region,45-49 Years,Male,6670
Southland region,45-49 Years,Male,3100
Waikato region,50-54 Years,Male,14300
Gisborne region,50-54 Years,Male,1470
Bay of Plenty region,50-54 Years,Male,9440
Taranaki region,50-54 Years,Male,3990
Manawatu-Wanganui region,50-54 Years,Male,7910
Hawke's Bay region,50-54 Years,Male,5510
Wellington region,50-54 Years,Male,16720
Nelson region,50-54 Years,Male,1790
Tasman region,50-54 Years,Male,1940
Marlborough region,50-54 Years,Male,1600
West Coast region,50-54 Years,Male,1370
Canterbury region,50-54 Years,Male,20700
Otago region,50-54 Years,Male,7210
Northland region,55-59 Years,Male,5820
Auckland region,55-59 Years,Male,43030
Southland region,50-54 Years,Male,3600
Waikato region,55-59 Years,Male,13280
Bay of Plenty region,55-59 Years,Male,8840
Gisborne region,55-59 Years,Male,1470
Hawke's Bay region,55-59 Years,Male,5100
Taranaki region,55-59 Years,Male,3670
Manawatu-Wanganui region,55-59 Years,Male,7430
Wellington region,55-59 Years,Male,14910
Tasman region,55-59 Years,Male,1880
Nelson region,55-59 Years,Male,1750
Marlborough region,55-59 Years,Male,1710
West Coast region,55-59 Years,Male,1380
Canterbury region,55-59 Years,Male,18850
Northland region,60-64 Years,Male,5470
Otago region,55-59 Years,Male,7020
Southland region,55-59 Years,Male,3290
Auckland region,60-64 Years,Male,36000
Waikato region,60-64 Years,Male,11820
Bay of Plenty region,60-64 Years,Male,8230
Gisborne region,60-64 Years,Male,1410
Hawke's Bay region,60-64 Years,Male,4600
Taranaki region,60-64 Years,Male,3420
Manawatu-Wanganui region,60-64 Years,Male,6700
Wellington region,60-64 Years,Male,12560
Tasman region,60-64 Years,Male,1700
Marlborough region,60-64 Years,Male,1590
Nelson region,60-64 Years,Male,1500
West Coast region,60-64 Years,Male,1190
Canterbury region,60-64 Years,Male,16310
Southland region,60-64 Years,Male,2880
Northland region,65-69 Years,Male,5450
Otago region,60-64 Years,Male,6250
Auckland region,65-69 Years,Male,31020
Waikato region,65-69 Years,Male,10980
Bay of Plenty region,65-69 Years,Male,7990
Gisborne region,65-69 Years,Male,1120
Hawke's Bay region,65-69 Years,Male,4530
Taranaki region,65-69 Years,Male,3050
Manawatu-Wanganui region,65-69 Years,Male,6200
Wellington region,65-69 Years,Male,11180
Tasman region,65-69 Years,Male,1760
Nelson region,65-69 Years,Male,1450
Marlborough region,65-69 Years,Male,1630
West Coast region,65-69 Years,Male,1070
Canterbury region,65-69 Years,Male,14560
Otago region,65-69 Years,Male,5700
Northland region,70-74 Years,Male,4040
Southland region,65-69 Years,Male,2510
Auckland region,70-74 Years,Male,21550
Waikato region,70-74 Years,Male,8190
Bay of Plenty region,70-74 Years,Male,6150
Gisborne region,70-74 Years,Male,820
Hawke's Bay region,70-74 Years,Male,3330
Taranaki region,70-74 Years,Male,2210
Manawatu-Wanganui region,70-74 Years,Male,4740
Wellington region,70-74 Years,Male,7960
Tasman region,70-74 Years,Male,1260
Nelson region,70-74 Years,Male,1020
Marlborough region,70-74 Years,Male,1280
West Coast region,70-74 Years,Male,760
Canterbury region,70-74 Years,Male,10340
Northland region,75-79 Years,Male,2820
Otago region,70-74 Years,Male,4060
Auckland region,75-79 Years,Male,15060
Southland region,70-74 Years,Male,1850
Waikato region,75-79 Years,Male,5690
Bay of Plenty region,75-79 Years,Male,4600
Gisborne region,75-79 Years,Male,520
Hawke's Bay region,75-79 Years,Male,2330
Taranaki region,75-79 Years,Male,1600
Manawatu-Wanganui region,75-79 Years,Male,3460
Wellington region,75-79 Years,Male,5480
Tasman region,75-79 Years,Male,800
Nelson region,75-79 Years,Male,740
Marlborough region,75-79 Years,Male,880
West Coast region,75-79 Years,Male,500
Canterbury region,75-79 Years,Male,7390
Northland region,80-84 Years,Male,1680
Otago region,75-79 Years,Male,2870
Auckland region,80-84 Years,Male,9540
Southland region,75-79 Years,Male,1340
Waikato region,80-84 Years,Male,3830
